cod_prod,descr_resumida,descr_detalhada,preco,unidade
512GER922,GE 512 BP CZA 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 BP CINZA,17.38,PECA
512GP1023,GP 512 GP,RODIZIO DE AÇO GIRATÓRIO FURO PASSANTE SEM RODA 512 PARAFUSO E PORCA,9.05,PECA
512GER923,GE 512 PP PTA 25,RODIZIO DE AÇO GIRATÓRIO ESPIGA 1/2X25MM COM RODA 512 PP PRETA,14.95,PECA
512GP1388,GP 512 BP CZA,RODIZIO DE AÇO GIRATÓRIO FURO PASSANTE COM RODA 512 BP CINZA,15.97,PECA
512GP1389,GP 512 PP PTA,RODIZIO DE AÇO GIRATÓRIO FURO PASSANTE COM RODA 512 PRETA,13.5,PECA
512GP1390,GP 512 NY BCA,RODIZIO DE AÇO GIRATÓRIO FURO PASSANTE COM RODA 512 NYLON BRANCA,26.8,PECA
512GP2002,GP 512 GP PLK,RODIZIO DE AÇO GIRATÓRIO FURO PASSANTE SEM RODA 512 PARAFUSO E PORCA PARLOCK,9.11,PECA
512GP2003,GP 512 BP CZA CT RO,RODIZIO DE AÇO GIRATÓRIO FURO PASSANTE COM RODA 512 BP CINZA CALOTA E ROLAMENTO,18.3,PECA
512RO1385,RO 512 NY BCA,RODA 512 NYLON BRANCA,14.56,PECA
512RO1464,RO 512 BP CZA CT RO,RODA 512 BP CINZA CALOTA E ROLAMENTO,7.75,PECA
512RO1618,RO 512 BP CZA CT RO 6003,RODA 512 BP CINZA CALOTA E ROLAMENTO 6003 TECNOLAR,0,PECA
512RO2105,RO 512 UP,RODA 512 DE POLIURETANO INJETADO,8.6,PECA
512RO939,RO 512 BP CZA,RODA 512 BP CINZA,6.42,PECA
512RO970,RO 512 PP PTA,RODA 512 PP PRETA,4.12,PECA
514FBL1413,FB 514 FE/PU BU PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100MM COM RODA 514 FERRO COM POLIURETANO BUCHA,67.8,PECA
514FBL1425,FB 514 GP PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100MM SEM RODA 514 PARAFUSO E PORCA,12.36,PECA
514FBL1426,FB 514 BP CZA CT PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100MM COM RODA 514 BP CINZA CALOTA,17.6,PECA
514FBL1492,FB 514 FE/PU RO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100MM COM RODA 514 FERRO COM POLIURETANO ROLAMENTO,77.23,PECA
514FBL1686,FB 514 BP CZA CT RO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100MM COM RODA 514 BP CINZA CALOTA E ROLAMENTO,19.74,PECA
514FBL1687,FB 514 FERRO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100MM COM RODA 514 FERRO,52.51,PECA
514FBL1688,FB 514 PP PTA CT RO PLK,RODIZIO DE AÇO FIXO DE BASE 127X100MM COM RODA 514 PP PRETA CALOTA E ROLAMENTO,25.62,PECA
514FBL2140,FB 514 NY BCA CT RO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA LEVE 127X100MM COM RODA 514 NY BRANCA CALOTA E ROLAMENTO,50.58,PECA
514FBR1002,FBR 514 BP CZA CT PLK,RODIZIO FIXO DE BASE LINHA REFORÇADA 130X110MM COM RODA 514 BP CINZA CALOTA PORCA PARLOCK,0,PECA
514FBR1003,FBR 514 FE/PU BU PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110MM COM RODA 514 FERRO COM POLIURETANO BUCHA PORCA PARLOCK,76.59,PECA
514FBR1105,FBR 514 GP PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110MM SEM RODA 514 COM PARAFUSO E PORCA PARLOCK,21.86,PECA
514FBR1606,FBR 514 FE/PU RO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110MM COM RODA 514 FERRO COM POLIURETANO ROLAMENTO PORCA PARLOCK,86.02,PECA
514FBR1722,FBR 52 GP PLK,RODIZIO DE AÇO FIXO DE BASE SEM RODA 52 COM PARAFUSO E PORCA PARLOCK,22.38,PECA
514FBR1743,FBR 514 FERRO PLK,RODIZIO DE AÇO FIXO DE BASE LINHA REFORÇADA 130X110MM COM RODA 514 FERRO PORCA PARLOCK,61.55,PECA
514FBR1762,FBR 52 BP CZA RO PLK,RODIZIO DE AÇO FIXO DE BASE COM RODA 52 BP CINZA ROLAMENTO,45.84,PECA
514FBR1763,FBR 52 FE/PU RO plk,RODIZIO DE AÇO FIXO DE BASE COM RODA 52 FERRO COM POLIURETANO ROLAMENTO,95.92,PECA
514FBR1826,FBR 52 FERRO plk,RODIZIO DE AÇO FIXO DE BASE COM RODA 52 FERRO,65.2568,PECA
514FEL1429,FE 514 BP CZA CT PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 BP CINZA CALOTA,14.8,PECA
514FEL1430,FE 514 GP PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE SEM RODA 514 PARAFUSO E PORCA,9.45,PECA
514FEL1431,FE 514 FE/PU BU PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 FERRO COM POLIURETANO BUCHA,65.08,PECA
514FEL1690,FE 514 BP CZA CT RO PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 BP CINZA CALOTA E ROLAMENTO,16.95,PECA
514FEL1691,FE 514 FE/PU RO PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 FERRO COM POLIURETANO ROLAMENTO,74.5,PECA
514FEL1692,FE 514 PP PTA CT RO PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM  COM RODA 514 PP PRETA CALOTA E ROLAMENTO,22.8,PECA
514FEL1693,FE 514 FERRO PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 FERRO,49.71,PECA
514FEL2142,FE 514 NY BCA CT RO 25 PLK,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA LEVE COM RODA 514 NY BRANCA CALOTA E ROLAMENTO,47.8,PECA
514FER1026,FER 514 FE/PU RO PLK 25,RODIZIO DE AÇO FIXO DE ESPIGA 1/2X25MM LINHA REFORÇADA COM RODA 514 FERRO COM POLIURETANO ROLAMENTO PORCA PARLOCK,86.02,PECA
514GBL1412,GB 514 FE/PU BU PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 COM RODA 514 FERRO COM BUCHA,70.35,PECA
514GBL1427,GB 514 GP PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 SEM RODA 514 PARAFUSO E PORCA,15.12,PECA
514GBL1428,GB 514 BP CZA CT PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 COM RODA 514 BP CINZA CALOTA,20.2,PECA
514GBL1491,GB 514 FE/PU RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 COM RODA 514 FERRO COM ROLAMENTO,79.78,PECA
514GBL1494,GB 514 BP CZA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 COM RODA 514 BP CINZA CALOTA E ROLAMENTO,22.36,PECA
514GBL1694,GB 514 PP PTA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 COM RODA 514 PP PRETA COM CALOTA E ROLAMENTO,28.22,PECA
514GBL1695,GB 514 FERRO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 COM RODA 514 FERRO,55.13,PECA
514GBL2139,GB 514 NY BCA CT RO PLK,RODIZIO DE AÇO GIRATORIO DE BASE LINHA LEVE 127X100 COM RODA 514 NYLON BRANCA CALOTA E ROLAMENTO,53.2,PECA
